WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jutai,BR,-5.1833,-68.9,98.71,34,26,3.56,scattered clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,100,12.66,overcast clouds
2,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,scattered clouds
3,Bredasdorp,ZA,-34.5322,20.0403,56.14,72,15,7.83,few clouds
4,Nikolskoye,RU,59.7035,30.7861,48.09,93,95,4.61,overcast clouds
5,Barrow,US,71.2906,-156.7887,33.82,86,100,12.66,overcast clouds
6,Ponta Do Sol,PT,32.6667,-17.1,76.01,85,92,1.3,overcast clouds
7,Hobart,AU,-42.8794,147.3294,49.86,80,100,4.61,overcast clouds
8,Marand,IR,38.4329,45.7749,69.53,18,1,5.5,clear sky
9,Las Vegas,US,36.175,-115.1372,85.6,27,0,3.44,clear sky
10,Busselton,AU,-33.65,115.3333,53.69,54,68,9.62,broken clouds
11,Cape Town,ZA,-33.9258,18.4232,64.81,59,20,10.36,few clouds
12,Kristiansund,NO,63.1115,7.732,48.85,87,75,10.36,light intensity shower rain
13,Olivehurst,US,39.0955,-121.5522,85.89,68,0,3.44,clear sky
14,Khatanga,RU,71.9667,102.5,13.01,97,100,4.63,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.57,71,28,20.65,scattered clouds
16,Narsaq,GL,60.9167,-46.05,37.62,95,100,9.64,overcast clouds
17,Westport,US,41.1415,-73.3579,60.91,91,100,4.61,light rain
18,Albany,US,42.6001,-73.9662,58.69,54,99,4.52,overcast clouds
19,Zarand,IR,30.8127,56.564,70.05,19,0,5.44,clear sky
20,San Ramon,US,37.7799,-121.978,68.36,86,0,0.0,clear sky
21,San Cristobal,VE,7.7669,-72.225,75.38,72,67,1.59,broken clouds
22,Alma,CA,48.5501,-71.6491,58.1,72,93,1.14,overcast clouds
23,Panjab,AF,34.388,67.0233,45.88,26,0,6.02,clear sky
24,Fortuna,US,40.5982,-124.1573,61.93,85,46,3.98,scattered clouds
25,Boddam,GB,57.4667,-1.7833,53.98,68,99,11.45,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,13.8,broken clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,17.27,fog
28,Hami,CN,42.8,93.45,53.33,56,25,3.53,scattered clouds
29,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,83.17,56,45,8.28,scattered clouds
30,Pitimbu,BR,-7.4706,-34.8086,84.79,67,5,13.22,clear sky
31,Malindi,KE,-3.2175,40.1191,77.16,78,40,6.91,scattered clouds
32,Zhigansk,RU,66.7697,123.3711,24.3,95,100,5.57,light snow
33,Gafargaon,BD,24.4333,90.5667,75.78,94,65,3.24,broken clouds
34,Saint George,US,37.1041,-113.5841,73.44,32,0,5.75,clear sky
35,Bluff,NZ,-46.6,168.3333,36.81,69,89,23.06,overcast clouds
36,Davidson,US,36.1501,-86.7833,76.1,28,40,3.44,scattered clouds
37,Roald,NO,62.5833,6.1333,51.75,87,75,11.5,broken clouds
38,Ribeira Grande,PT,38.5167,-28.7,72.0,78,75,10.36,broken clouds
39,Saskylakh,RU,71.9167,114.0833,5.9,97,95,4.54,overcast clouds
40,Santa Rosa,PH,14.3122,121.1114,83.08,88,95,6.4,overcast clouds
41,Hamilton,US,39.1834,-84.5333,74.64,37,20,3.44,few clouds
42,Port Alfred,ZA,-33.5906,26.891,63.18,91,100,3.0,overcast clouds
43,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,23,10.87,few clouds
44,Christchurch,NZ,-43.5333,172.6333,35.91,66,20,18.41,few clouds
45,Rikitea,PF,-23.1203,-134.9692,69.49,58,41,21.52,scattered clouds
46,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,46,75,24.16,broken clouds
47,New Norfolk,AU,-42.7826,147.0587,49.5,69,100,1.99,overcast clouds
48,Kodiak,US,57.79,-152.4072,53.11,82,100,19.57,moderate rain
49,Bethel,US,41.3712,-73.414,59.2,88,100,1.01,overcast clouds
50,Sambava,MG,-14.2667,50.1667,71.04,90,4,10.69,clear sky
51,Prince Rupert,CA,54.3161,-130.3201,59.09,94,100,21.85,overcast clouds
52,Longyearbyen,SJ,78.2186,15.6401,39.04,75,20,18.41,few clouds
53,Mormugao,IN,15.4,73.8,78.06,94,40,6.91,scattered clouds
54,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,40,12.66,scattered clouds
55,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,40,8.05,scattered clouds
56,Yatou,CN,37.15,122.3833,52.79,56,99,12.95,overcast clouds
57,Mataura,NZ,-46.1927,168.8643,36.48,82,100,7.54,overcast clouds
58,Hermanus,ZA,-34.4187,19.2345,60.8,77,1,11.43,clear sky
59,Kalachinsk,RU,55.0529,74.5751,48.43,65,93,8.28,overcast clouds
60,Ushuaia,AR,-54.8,-68.3,49.66,46,75,9.22,broken clouds
61,Quesnel,CA,52.9999,-122.5029,48.7,100,100,0.0,mist
62,Rudbar,AF,30.15,62.6,78.76,12,0,16.91,clear sky
63,Grand Gaube,MU,-20.0064,57.6608,72.37,65,1,8.01,clear sky
64,Da Nang,VN,16.0678,108.2208,78.78,94,40,2.3,scattered clouds
65,Chifeng,CN,42.2683,118.9636,36.43,29,92,2.3,overcast clouds
66,Kaabong,UG,3.4836,34.1492,71.28,56,86,5.86,light rain
67,Castro,BR,-24.7911,-50.0119,77.45,52,14,5.12,few clouds
68,Turukhansk,RU,65.8167,87.9833,32.29,99,100,6.69,overcast clouds
69,Bubaque,GW,11.2833,-15.8333,82.8,75,8,9.64,clear sky
70,Ostrovnoy,RU,68.0531,39.5131,47.07,92,97,13.4,overcast clouds
71,Atuona,PF,-9.8,-139.0333,77.5,65,83,17.98,broken clouds
72,Laguna,US,38.421,-121.4238,83.08,68,0,3.44,clear sky
73,Safaga,EG,26.7292,33.9365,85.5,54,7,8.5,clear sky
74,Kangaatsiaq,GL,68.3065,-53.4641,30.92,59,36,2.1,scattered clouds
75,Smithers,CA,54.7804,-127.1743,46.72,93,75,2.3,light rain
76,Hilo,US,19.7297,-155.09,79.29,95,100,5.99,overcast clouds
77,Dikson,RU,73.5069,80.5464,31.12,69,100,1.36,overcast clouds
78,Torbay,CA,47.6666,-52.7314,64.89,51,20,12.66,few clouds
79,Airai,TL,-8.9266,125.4092,60.24,87,96,1.83,overcast clouds
80,Sovetskiy,RU,61.3614,63.5842,46.89,75,100,6.89,overcast clouds
81,Avarua,CK,-21.2078,-159.775,73.45,78,75,12.66,broken clouds
82,Emerald,AU,-23.5333,148.1667,63.34,83,1,11.01,clear sky
83,Roma,US,43.2128,-75.4557,68.09,56,0,0.0,clear sky
84,Shimoda,JP,34.6667,138.95,59.11,90,100,20.71,moderate rain
85,Loandjili,CG,-4.7561,11.8578,77.2,83,83,10.27,broken clouds
86,Ajaccio,FR,42.0,8.9167,69.78,60,0,4.61,clear sky
87,Upernavik,GL,72.7868,-56.1549,20.28,77,91,5.01,overcast clouds
88,Guerrero Negro,MX,27.9769,-114.0611,73.02,70,55,7.25,broken clouds
89,Lavrentiya,RU,65.5833,-171.0,37.81,91,100,17.25,overcast clouds
90,Formosa,AR,-26.1775,-58.1781,80.58,54,40,14.97,scattered clouds
91,Piterka,RU,50.6803,47.4454,58.91,82,100,7.4,light rain
92,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,81,100,8.25,light rain
93,Pudozh,RU,61.8099,36.5345,41.32,92,55,2.04,broken clouds
